fips,week,cases,totcases,rate,temp
01003,03/23/2020,2,3,0.92,69.46
01003,03/30/2020,15,18,6.88,71.59
01003,04/06/2020,20,38,9.17,72.49
01003,04/13/2020,40,78,18.35,67.60
01003,04/20/2020,39,117,17.89,68.53
01003,04/27/2020,51,168,23.39,66.97
01003,05/04/2020,20,188,9.17,68.28
01003,05/11/2020,36,224,16.51,67.59
01003,05/18/2020,36,260,16.51,68.09
01003,05/25/2020,14,274,6.42,72.17
01003,06/01/2020,32,306,14.68,76.16
01003,06/08/2020,29,335,13.30,78.53
01003,06/15/2020,48,383,22.02,78.89
01003,06/22/2020,54,437,24.77,78.54
01003,06/29/2020,206,643,94.49,78.49
01003,07/06/2020,268,911,122.92,81.01
01003,07/13/2020,448,1359,205.48,80.91
01003,07/20/2020,654,2013,299.97,81.46
01003,07/27/2020,757,2770,347.21,82.23
01003,08/03/2020,495,3265,227.04,80.60
01003,08/10/2020,449,3714,205.94,81.39
01003,08/17/2020,246,3960,112.83,82.85
01003,08/24/2020,207,4167,94.94,82.30
01003,08/31/2020,378,4545,173.38,79.87
01003,09/07/2020,185,4730,84.85,81.18
01003,09/14/2020,248,4978,113.75,81.39
01003,09/21/2020,109,5087,49.99,79.55
01003,09/28/2020,501,5588,229.79,74.54
01003,10/12/2020,135,6220,61.92,69.28
01003,10/19/2020,155,6375,71.09,75.06
01003,10/26/2020,319,6694,146.32,71.52
01003,11/02/2020,291,6985,133.47,74.33
01003,11/09/2020,278,7263,127.51,64.22
01003,11/16/2020,433,7696,198.60,66.83
01003,11/23/2020,573,8269,262.82,67.34
01003,11/30/2020,621,8890,284.83,60.89
01003,12/07/2020,931,9821,427.02,58.93
01003,12/14/2020,1077,10898,493.99,48.69
01003,12/21/2020,1054,11952,483.44,54.54
01003,12/28/2020,1010,12962,463.26,49.81
01003,01/04/2021,1225,14187,561.87,51.58
01003,01/11/2021,1230,15417,564.16,55.76
01003,01/18/2021,929,16346,426.10,45.13
01003,01/25/2021,987,17333,452.71,45.19
01003,02/01/2021,878,18211,402.71,59.16
01003,02/08/2021,552,18763,253.19,57.27
01005,04/13/2020,7,10,28.13,65.50
01005,04/20/2020,12,22,48.23,67.00
01005,04/27/2020,13,35,52.25,63.80
01005,05/04/2020,10,45,40.19,63.50
01005,05/11/2020,16,61,64.31,66.81
01005,05/18/2020,24,85,96.46,65.45
01005,05/25/2020,28,113,112.54,70.55
01005,06/01/2020,60,173,241.15,73.70
01005,06/08/2020,25,198,100.48,76.35
01005,06/15/2020,40,238,160.77,77.90
01005,06/22/2020,39,277,156.75,76.60
01005,06/29/2020,45,322,180.86,77.05
01005,07/06/2020,34,356,136.65,79.95
01005,07/13/2020,57,413,229.09,80.60
01005,07/20/2020,90,503,361.72,81.30
01005,07/27/2020,66,569,265.26,82.65
01005,08/03/2020,43,612,172.82,81.80
01005,08/10/2020,19,631,76.36,81.80
01005,08/17/2020,41,672,164.78,82.83
